Title Number,Question Number,Title,Question,Choice1,Choice2,Choice3,Choice4,Answer,Image Filename
1,1,Regulations,The Amateur Service may be briefly defined as:,a private radio service for personal gain and public benefit,a public radio service used for public service communications,"a radiocommunication service for the purpose of self-training, intercommunication and technical investigation",a private radio service intended only for emergency communications,2,
1,2,Regulations,The organisation responsible for the International Radio Regulations is the:,European Radiocommunications Office,United Nations,International Telecommunication Union,European Telecommunication Standards Institute,2,
1,3,Regulations,New Zealand's views on international radio regulatory matters are coordinated by the:,New Zealand Association of Radio Transmitters (NZART),"Ministry of Business, Innovation, and Employment",International Amateur Radio Union (IARU),Prime Minister's Office,1,
1,4,Regulations,For regulatory purposes the world is divided into regions each with different radio spectrum allocations. New Zealand is in:,Region 1,Region 2,Region 3,Region 4,2,
1,5,Regulations,The prime document for the administration of the Amateur Service in New Zealand is the:,New Zealand Radiocommunications Regulations,Broadcasting Act,Radio Amateur's Handbook,minutes of the International Telecommunication Union meetings,0,
1,6,Regulations,The administration of the Amateur Service in New Zealand is by:,"Ministry of Business, Innovation, and Employment Radio Spectrum Management Group",the Area Code administrators of New Zealand Post,the Radio Communications Division of the Ministry of Police,your local council public relations section,0,
1,7,Regulations,An Amateur Station is a station:,in the public radio service,using radiocommunications for a commercial purpose,using equipment for training new radiocommunications operators,in the Amateur Service,3,
1,8,Regulations,"A General Amateur Operator Certificate of Competency can be inspected by an authorised officer from the Ministry of Business, Innovation, and Employment:",at any time,on any business day,before 9 p.m.,only on public holidays,0,
1,9,Regulations,The fundamental regulations controlling the Amateur Service are to be found in:,the International Radio Regulations from the ITU,the Radio Amateur's Handbook,the NZART Callbook,on the packet radio bulletin-board,0,
1,10,Regulations,You must have a General Amateur Operator Certificate of Competency to:,transmit on public-service frequencies,retransmit shortwave broadcasts,repair radio equipment,transmit in bands allocated to the Amateur Service,3,
1,11,Regulations,A New Zealand General Amateur Operator Certificate of Competency allows you to operate:,anywhere in the world,anywhere in New Zealand and in any other country that recognises the Certificate,within 50 km of your home station location,only at your home address,1,
1,12,Regulations,With a General Amateur Operator Certificate of Competency you may operate transmitters in your station:,one at a time,"one at a time, except for emergency communications",any number at one time,"any number, so long as they are transmitting on different bands",2,
1,13,Regulations,You must keep the following document at your amateur station:,your General Amateur Operator Certificate of Competency,a copy of the Rules and Regulations for the Amateur Service,a copy of the Radio Amateur's Handbook for instant reference,a chart showing the amateur radio bands,0,
1,14,Regulations,An Amateur Station is one which is:,operated by the holder of a General Amateur Operator Certificate of Competency on the amateur radio bands,owned and operated by a person who is not engaged professionally in radio communications,used exclusively to provide two-way communication in connection with activities of amateur sporting organisations,"used primarily for emergency communications during floods, earthquakes and similar disasters.",0,
1,15,Regulations,"If the qualified operator of an amateur radio station is absent overseas, the home station may be used by:",any member of the immediate family to maintain contact with only the qualified operator,any person with an appropriate General Amateur Operator Certificate of Competency,the immediate family to communicate with any amateur radio operator,the immediate family if a separate callsign for mobile use has been obtained by the absent operator,1,
1,16,Regulations,"All amateur stations, regardless of the mode of transmission used, must be equipped with:",a reliable means for determining the operating radio frequency,a dummy antenna,an overmodulation indicating device,a dc power meter,0,
1,17,Regulations,An amateur station may transmit unidentified signals:,when making a brief test not intended for reception by anyone else,when conducted on a clear frequency when no interference will be caused,when the meaning of transmitted information must be obscured to preserve secrecy,"never, such transmissions are not permitted",3,
1,18,Regulations,You may operate your amateur radio station somewhere in New Zealand for short periods away from the location entered in the administration's database:,only during times of emergency,"only after giving proper notice to the Ministry of Business, Innovation, and Employment",during an approved emergency practice,whenever you want to,3,
1,19,Regulations,"Before operating an amateur station in a motor vehicle, you must:",give the Land Transport Authority the vehicle's licence plate number,"inform the Ministry of Business, Innovation, and Employment",hold a current General Amateur Operator Certificate of Competency,obtain an additional callsign,2,
1,20,Regulations,An applicant for a New Zealand General Amateur Operator Certificate of Competency must first qualify by meeting the appropriate examination requirements. Application may then be made by:,anyone except a representative of a foreign government,only a citizen or permanent resident of New Zealand,"anyone except an employee of the Ministry of Business, Innovation, and Employment",anyone,1,
1,21,Regulations,"An amateur radio operator must have current New Zealand postal and email addresses so the Ministry of Business, Innovation, and Employment:",has a record of the location of each amateur station,can refund overpaid fees,can publish a callsign directory,can send mail to the operator,3,
1,22,Regulations,"If you transmit from another amateur's station, the person responsible for its proper operation is:",both of you,the other amateur (the station’s owner),"you, the operator","the station owner, unless the station records show that you were the operator at the time",2,
1,23,Regulations,Your responsibility as a station operator is that you must:,allow another amateur to operate your station upon request,be present whenever the station is operated,be responsible for the proper operation of the station in accordance with the Radiocommunications Regulations,"notify the Ministry of Business, Innovation, and Employment if another amateur acts as the operator",2,
1,24,Regulations,An amateur station must have a qualified operator:,only when training another amateur,whenever the station receiver is operated,whenever the station is used for transmitting,when transmitting and receiving,2,
1,25,Regulations,A log-book for recording stations worked:,is compulsory for every amateur radio operator,is recommended for all amateur radio operators,must list all messages sent,must record time in UTC,1,
1,26,Regulations,Unqualified persons in your family cannot transmit using your amateur station if they are alone with your equipment because they must:,not use your equipment without your permission,hold a General Amateur Operator Certificate of Competency before they are allowed to be operators,first know how to use the right abbreviations and Q signals,first know the right frequencies and emissions for transmitting,1,
1,27,Regulations,Amateur radio repeater equipment and frequencies in New Zealand are co-ordinated by:,"the Ministry of Business, Innovation, and Employment",NZART branches in the main cities,repeater trustees,the NZART Frequency Management and Technical Advisory Group.,3,
1,28,Regulations,A qualified operator of an amateur radio station may permit anyone to:,operate the station under direct supervision,send business traffic to any other station.,pass brief comments of a personal nature provided no fees or other considerations are requested or accepted,use the station for Morse sending practice,2,
1,29,Regulations,The minimum age for a person to hold a General Amateur Operator Certificate of Competency is:,12 years,16 years,21 years,there is no age limit,3,
1,30,Regulations,Which of the following operating arrangements allows a NZ citizen holding a General Amateur Operator’s Certificate of Competency and a call-sign to operate in many European countries:,CEPT agreement,IARP agreement,ITU reciprocal license,All of these choices are correct,0,
1,31,Regulations,The age when an amateur radio operator is required to surrender the General Amateur Operator Certificate of Competency is:,65 years,70 years,75 years,there is no age limit,3,
1,32,Regulations,Peak envelope power (PEP) output is the:,average power output at the crest of the modulating cycle,total power contained in each sideband,carrier power output,transmitter power output on key-up condition,0,
1,33,Regulations,The maximum power output permitted from an amateur station is:,that needed to overcome interference from other stations,30 watt PEP,specified in the amateur radio General User Radio Licence,1000 watt mean power or 2000 watt PEP,2,
1,34,Regulations,The transmitter power output for amateur stations at all times is:,25 watt PEP minimum output,that needed to overcome interference from other stations,1000 watt PEP maximum,the minimum power necessary to communicate and within the terms of the amateur radio GURL,3,
1,35,Regulations,You identify your amateur station by transmitting your:,"""handle""",callsign,first name and your location,full name,1,
1,36,Regulations,This callsign could be allocated to an amateur radio operator in New Zealand:,ZK-CKF,ZLC5,ZL2HF,ZMX4432,2,
1,37,Regulations,The callsign of a New Zealand amateur radio station:,is listed in the administration's database,can be any sequence of characters made-up by the operator,can never be changed,is changed annually,0,
1,38,Regulations,These letters are generally used for the first letters in New Zealand amateur radio callsigns:,ZS,ZL,VK,LZ,1,
1,39,Regulations,The figures normally used in New Zealand amateur radio callsigns are:,"any two-digit number, 45 through 99","any two-digit number, 22 through 44","a single digit, 5 through 9","a single digit, 1 through 4",3,
1,40,Regulations,"Before re-issuing, a relinquished callsign is normally kept for:",1 year,2 years,0 years,5 years,0,
1,41,Regulations,A General Amateur Operator Certificate of Competency authorises the use of:,all amateur radio transmitting and receiving apparatus,a TV receiver,amateur radio transmitting apparatus only,marine mobile equipment,2,
